Menznau, 6122, 47.0738989, 8.0390977,
Arlesheim, 4144, 47.4953285, 7.628910799999999,
Riken, 4853, 47.2731037, 7.855814400000001,
Cully, 1096, 46.48975249999999, 6.7283917,
Thayngen, 8240, 47.7447496, 8.7107153,
Nennigkofen, 4574, 47.1890209, 7.4995943,
Frauenfeld, 8500, 47.5624565, 8.8883133,
Oberneunforn, 8526, 47.6091861, 8.7643759,
Maur, 8124, 47.3344719, 8.673678299999999,
Gruesch, 7214, 46.9692138, 9.6412028,
Willisau, 6130, 47.1208406, 7.998617100000001,
Aegerten, 2558, 47.1172684, 7.283035300000001,
Einsiedeln, 8840, 47.1109258, 8.735636399999999,
Kirchlindach, 3038, 46.99878020000001, 7.414235100000001,
Basel, 4057, 47.574259, 7.5930664,
Bichwil, 9248, 47.4210766, 9.1352906,
Ettiswil, 6218, 47.1462565, 8.0207316,
Cossonay-Ville, 1304, 46.818188, 8.227511999999999,
Bannwil, 4913, 47.232873, 7.725324599999999,
Gunzgen, 4617, 47.3111104, 7.8393871,
Rafz, 8197, 47.6083878, 8.546168999999999,
Vordemwald, 4803, 47.2706747, 7.8910541,
Trub, 3556, 46.9720887, 7.885568899999999,
Winistorf, 4558, 47.1604805, 7.6343538,
Mellingen, 5507, 47.4210412, 8.271213699999999,
Steinmaur, 8162, 47.4975846, 8.4396233,
Yverdon Le Bains, 1400, 46.818188, 8.227511999999999,
Thun, 3608, 46.7407213, 7.595570500000001,
Uettligen, 3043, 46.99141729999999, 7.377042599999999,
Basel, 4055, 47.5612569, 7.565574300000001,
Schafhausen, 3415, 47.0027027, 7.6511386,
Bitsch, 3982, 46.3392569, 8.0115878,
Eggersriet, 9034, 47.43948169999999, 9.463542499999999,
Hugelshofen, 8565, 47.5963223, 9.118331,
St.Moritz, 7500, 46.818188, 8.227511999999999,
Lenk im Simmental, 3775, 46.4092951, 7.441034999999999,
Cham, 6330, 47.200425, 8.4602565,
Hettlingen, 8442, 47.5464124, 8.7112097,
Meikirch, 3045, 47.0113851, 7.370467400000001,
Oberwil im Simmental, 3765, 46.6509856, 7.446252400000001,
Ftan, 7551, 46.8451715, 10.2202199,
Waltenschwil, 5622, 47.3329265, 8.2969192,
Lenzburg, 5600, 47.3778731, 8.1860746,
Gräslikon, 8415, 47.5651662, 8.5943448,
Hinterkappelen, 3032, 46.9692427, 7.380097900000001,
Raron, 3942, 46.3367598, 7.804152599999998,
Wangen an der Aare, 3380, 47.2345991, 7.663238499999999,
Hofstetten b. Brienz, 3858, 46.7546227, 8.076198399999999,
Pfäffikon, 8330, 47.3722412, 8.7921111,
Triengen, 6234, 47.2374115, 8.0855523,
Hemberg, 9633, 47.3005308, 9.1757408,
Ennetmoos, 6372, 46.9405596, 8.329259200000001,
Scharnachtal, 3722, 46.6187782, 7.712012799999998,
Neu St. Johann, 9652, 47.2400076, 9.1880199,
Rüdtligen, 3422, 47.08242329999999, 7.592681699999999,
Langenthal, 4900, 47.2140396, 7.7857711,
Erstfeld, 6472, 46.8033393, 8.5994797,
Sonvilier, 2615, 47.130022, 6.960442599999999,
Uettligen, 3043, 46.99141729999999, 7.377042599999999,
Lütisburg / Unterrindal, 9604, 47.39691269999999, 9.1065939,
Ebnat-Kappel, 9642, 47.2522495, 9.1275795,
Wolfenschiessen, 6386, 46.9015041, 8.395495799999999,
Alten, 8453, 47.5985223, 8.6443471,
Uettligen, 3043, 46.99141729999999, 7.377042599999999,
Neukirch, 9315, 47.52385719999999, 9.3705949,
Nidfurn, 8772, 46.9862732, 9.045321399999999,
Morbio Inferiore, 6834, 45.850209, 9.0238835,
Scherz, 5246, 47.4472086, 8.1818971,
Zürich, 8004, 47.3807562, 8.517289,
Villars-sur-Fontenais, 2903, 47.3830538, 7.075870399999999,
Plan-les-Ouates, 1228, 46.1655214, 6.116018,
Uetikon am See, 8707, 47.269647, 8.6842566,
Fislisbach, 5442, 47.436874, 8.2909952,
Ittigen, 3063, 46.9824346, 7.4776246,
Rosshäusern, 3204, 46.9293689, 7.278932999999999,
Steinmaur, 8162, 47.4975846, 8.4396233,
Furna, 7232, 46.9333514, 9.6596705,
Egg, 8847, 47.1617695, 8.783147699999999,
Pailly, 1416, 32.5709437, -117.0924401,
Kesswil, 8593, 47.58552539999999, 9.3133194,
Bottmingen, 4103, 47.52087239999999, 7.57879,
Teufen, 9053, 47.3927275, 9.401474499999999,
Siviriez, 1678, 46.818188, 8.227511999999999,
Gasel, 3144, 46.899072, 7.4087902,
Thayngen, 8240, 47.7447496, 8.7107153,
Rapperswil, 3255, 47.0638504, 7.4104389,
Trimbach, 4632, 47.3688467, 7.894377,
Muhen, 5037, 47.3371722, 8.0658539,
Nyon, 1260, 46.3805092, 6.2298735,
Schocherswil, 8581, 47.5353988, 9.2596241,
Müntschemier, 3225, 46.9964702, 7.1438031,
Rüschegg Heubach, 3154, 46.7892444, 7.412360199999999,
Trüllikon, 8466, 47.6389086, 8.6997237,
Einsiedeln, 8840, 47.1109258, 8.735636399999999,
St. Gallen, 9010, 47.44214849999999, 9.3714336,
Oberdorf, 4436, 47.3916064, 7.7416841,
Basel, 4056, 47.5705771, 7.5740645,
Gsteig, 3785, 46.37278449999999, 7.2585836,
Giswil, 6074, 46.828877, 8.118184399999999,
Wettingen, 5430, 47.4650388, 8.344792,
Wiesenberg, 6383, 46.917998, 8.370464,
Münsingen, 3110, 46.8722757, 7.5572966,
Glovelier, 2855, 47.3273761, 7.1801473,
Rona, 7454, 46.55763150000001, 9.6596835,
Ebikon, 6030, 47.08164499999999, 8.3407354,
Tenna, 7106, 46.7416885, 9.3210091,
Zell, 6144, 47.139762, 7.938244600000001,
Schüpfheim, 6170, 46.9431775, 8.019995999999999,
Kümmertshausen, 8586, 47.5456562, 9.2161258,
Collombey, 1868, 46.818188, 8.227511999999999,
Mühledorf, 3116, 46.8148227, 7.542035999999999,
Willisau, 6130, 47.1208406, 7.998617100000001,
Lützelflüh, 3432, 47.0055543, 7.681473,
Staufen, 5603, 47.3821933, 8.160136699999999,
St-Imier, 2610, 47.162034, 6.9975882,
Yverdon, 1400, 46.818188, 8.227511999999999,
Gruenenmatt, 3452, 47.0276039, 7.717045100000001,
Unterwasser, 9657, 47.1931277, 9.3108287,
Hildisrieden, 6024, 47.14866010000001, 8.228173,
Kaltbrunn, 8722, 47.2161875, 9.0242024,
Davos, 7260, 46.7757476, 9.8997731,
Gunzwil, 6222, 47.1921984, 8.1686856,
Lenzerheide, 7078, 46.7283044, 9.5412767,
Törbel, 3923, 46.2433627, 7.830723300000001,
Wuppenau, 9514, 47.4961569, 9.1015365,
Höchstetten, 3429, 47.1430412, 7.638568100000001,
Glashütten, 4856, 47.253813, 7.850476299999999,
Rüti bei Büren, 3295, 47.1531739, 7.4102938,
Zweisimmen, 3770, 46.5761908, 7.4034662,
Lyssach, 3421, 47.0657849, 7.585278299999999,
Neuchâtel, 2002, 46.818188, 8.227511999999999,
Lenzerheide, 7078, 46.7283044, 9.5412767,
Zetzwil, 5732, 47.288418, 8.1633046,
Buttisholz, 6018, 47.114231, 8.0923935,
Willadingen, 3425, 47.1427726, 7.605866400000001,
Goldiwil, 3624, 46.7651516, 7.6666345,
Beinwil, 5637, 47.2303776, 8.3458451,
Le Mont, 1052, 46.818188, 8.227511999999999,
St. Peter, 7028, 46.8509816, 9.649968399999999,
Präz, 7424, 46.7453548, 9.3950169,
Utzigen, 3068, 46.818188, 8.227511999999999,
Ruswil, 6017, 47.08397739999999, 8.1263259,
Bargen, 8233, 47.7936422, 8.589948099999999,
Blumenstein, 3638, 46.7243621, 7.5122297,
Hinwil, 8340, 47.2993227, 8.8427233,
Gsteig, 3785, 46.37278449999999, 7.2585836,
Bonaduz, 7402, 46.7967526, 9.3634378,
Nassen, 9123, 47.3834435, 9.151499,
Saignelégier, 2350, 47.2489725, 7.0190267,
Montfaucon, 2875, 47.2855129, 7.0633997,
Faoug, 1595, 46.9006664, 7.0760673,
Menzingen, 6313, 47.1758438, 8.5919634,
Langnau, 3550, 46.9349318, 7.7864583,
Ammerzwil, 3257, 47.0705883, 7.362277299999999,
Belp, 3123, 46.895252, 7.5046295,
Otelfingen, 8112, 47.4615504, 8.3923945,
Bichwil, 9248, 47.4210766, 9.1352906,
Ueberstorf, 3182, 46.8681291, 7.321717899999999,
Marbach, 9437, 47.3851158, 9.581794300000002,
Steffisburg, 3613, 46.7734044, 7.6160391,
Gonten, 9108, 47.3135227, 9.3443465,
Degen, 7145, 46.707833, 9.167802499999999,
Cressier, 1785, 46.818188, 8.227511999999999,
Cressier, 1785, 46.818188, 8.227511999999999,
Flühli, 6173, 46.8840955, 8.0270584,
Aigle, 1860, 46.818188, 8.227511999999999,
Jonschwil, 9243, 47.42772, 9.0918706,
Rubigen, 3113, 46.90255519999999, 7.5418266,
Weinfelden, 8570, 47.569994, 9.1067558,
Wila, 8492, 47.4070894, 8.851922000000002,
Villarlod, 1695, 46.818188, 8.227511999999999,
Niederbüren, 9246, 47.4619009, 9.220146699999999,
Ehrendingen, 5420, 47.4949173, 8.341430299999999,
Lützelflüh-Goldbach, 3432, 47.0055543, 7.681473,
Klosters, 7250, 46.8390202, 9.9588438,
Azmoos, 9478, 47.0909084, 9.418216,
Interlaken, 3800, 46.6871831, 7.848015299999999,
Aesch, 6287, 47.2583926, 8.2389682,
Au, 9434, 47.4295975, 9.6404297,
Dürrenroth, 3465, 47.0813037, 7.791030399999999,
Donzhausen, 8583, 47.5386004, 9.189432,
Heitenried, 1714, 46.8305302, 7.300363,
Chiasso, 6830, 45.8357536, 9.0251586,
Euthal, 8844, 47.09837539999999, 8.8348247,
Wilchingen, 8217, 47.6648801, 8.4528505,
Altendorf, 8852, 47.1769241, 8.8350098,
Ebnat-Kappel, 9642, 47.2522495, 9.1275795,
Saillon, 1913, 46.818188, 8.227511999999999,
Niederönz, 3362, 47.1888575, 7.686580999999999,
Gümmenen, 3205, 46.9411674, 7.2468286,
Finsterwald, 6162, 46.9748961, 8.124259499999999,
Schlossrued, 5044, 47.2855978, 8.099298,
Kriessern, 9451, 47.3660196, 9.6032566,
Brugg, 5200, 47.4824134, 8.2072208,
Ennetbürgen, 6373, 46.9884748, 8.4092693,
Münchenstein, 4142, 47.51813110000001, 7.620042300000001,
Wald, 8636, 47.2832038, 8.9231923,
Hergiswil b. Willisau, 6133, 47.0648206, 7.959008,
Häggenschwil, 9312, 47.48944789999999, 9.337500100000002,
Aeschlen, 3656, 46.72938800000001, 7.6921847,
Mönchaltorf, 8617, 47.308497, 8.7235821,
Tentlingen, 1734, 46.766384, 7.1995146,
Arlesheim, 4144, 47.4953285, 7.628910799999999,
Allschwil, 4123, 47.5411636, 7.533236499999999,
Gossau, 9201, 46.818188, 8.227511999999999,
Frauenfeld, 8500, 47.5624565, 8.8883133,
Reichenbach, 3713, 46.6211024, 7.6775531,
Rüttenen, 4522, 47.24536819999999, 7.5382485,
Steinach, 9323, 47.4985985, 9.436729099999999,
Euthal, 8844, 47.09837539999999, 8.8348247,
Le Cerneux-Veusil, 2345, 47.2123237, 7.003925600000001,
Ganterschwil, 9608, 47.37766149999999, 9.100402899999999,
Tenna, 7106, 46.7416885, 9.3210091,
Döttingen, 5312, 47.5581466, 8.253506699999999,
Delémont, 2800, 47.3668919, 7.3324722,
Eichberg, 9453, 47.3459394, 9.518951999999999,
Oschwand, 3476, 47.13494739999999, 7.722492,
Murten, 3280, 46.92848, 7.1384139,
Hellsau, 3429, 47.1430412, 7.638568100000001,
Altstätten, 9450, 47.3700789, 9.5549856,
Grandvaux, 1091, 46.5069328, 6.723880299999999,
Bottenwil, 4814, 47.2852171, 8.0000429,
Plan-les-Ouates, 1228, 46.1655214, 6.116018,
Plan-les-Ouates, 1228, 46.1655214, 6.116018,
Luzern, 6014, 47.0588407, 8.2500796,
Bern, 3018, 46.9400266, 7.390333200000001,
Samnaun-Compatsch, 7562, 46.97131100000001, 10.3965963,
Genf, 1203, 46.818188, 8.227511999999999,
Thunstetten, 4922, 47.2023671, 7.740851399999999,
Gais, 9056, 47.3675181, 9.4673559,
Hessigkofen, 4577, 47.1390244, 7.458312200000001,
Oberthal, 3531, 46.922051, 7.688424299999999,
Neuenegg, 3176, 46.9087039, 7.297048099999999,
Zizers, 7205, 46.9335139, 9.5708253,
Thierrens, 1410, 46.818188, 8.227511999999999,
Madiswil, 4934, 47.1582636, 7.812176999999999,
Oberwil bei Zug, 6317, 47.1401305, 8.5116703,
Niederurnen, 8867, 47.1262043, 9.0537406,
Engelburg, 9032, 47.444623, 9.3412872,
Herznach, 5027, 47.4742592, 8.0506391,
Appenzell, 9050, 47.32678900000001, 9.4228294,
Rheinklingen, 8259, 47.656076, 8.831321599999999,
Oberbütschel, 3088, 46.8304487, 7.452386,
Rüeggisberg, 3088, 46.8304487, 7.452386,
Biezwil, 4585, 47.1157248, 7.4211917,
Les Brenets, 2416, 47.0710985, 6.7187969,
Bergdietikon, 8962, 47.3860478, 8.3791652,
Donat, 7433, 46.6243833, 9.3852359,
Thörishaus, 3174, 46.8954172, 7.3521695,
Säriswil, 3049, 46.991434, 7.3388638,
Ernetschwil, 8725, 47.2451799, 8.9998043,
Basel, 4057, 47.574259, 7.5930664,
Avers-Puent, 7447, 46.4574928, 9.5229094,
Engishofen, 8586, 47.5456562, 9.2161258,
Lützelflüh, 3432, 47.0055543, 7.681473,
Zimmerwald, 3086, 46.8835199, 7.460444999999999,
Knutwil, 6213, 47.19889329999999, 8.0745829,
Schänis, 8718, 47.1582369, 9.072896499999999,
Willadingen, 3425, 47.1427726, 7.605866400000001,
Altikon, 8479, 47.5804992, 8.783165499999999,
Schlatt, 8252, 47.6662411, 8.6988943,
Unterägeri, 6314, 47.1226008, 8.5818864,
Nebikon, 6244, 47.1932598, 7.9801423,
Sternenberg, 8499, 47.3927963, 8.908723,
Kreuzlingen, 8280, 47.6400624, 9.1603602,
Bözberg, 5224, 46.818188, 8.227511999999999,
Mühlrüti, 9613, 47.3679063, 8.974447999999999,
Steffisburg, 3612, 46.7792265, 7.6381387,
Guntalingen, 8468, 47.6316606, 8.7621018,
Hellbühl, 6016, 47.0726649, 8.194188,
Schleitheim, 8226, 47.7513569, 8.4909999,
Alpnachstad, 6053, 46.96917819999999, 8.2718593,
Schuders, 7228, 47.0034293, 9.7574876,
Altbüron, 6147, 47.1919482, 7.893083400000001,
Furna, 7232, 46.9333514, 9.6596705,
Les Vieux-Prés, 2054, 47.078038, 6.9302062,
Bern, 3027, 46.9522511, 7.378622,
Braunau, 9502, 47.4990318, 9.065437,
Abtwil, 5646, 47.1763608, 8.353566899999999,
Bottenwil, 4814, 47.2852171, 8.0000429,
Aesch, 6287, 47.2583926, 8.2389682,
Oberdiessbach, 3672, 46.8373954, 7.6420254,
Aeschi, 4556, 47.1781859, 7.6628849,
Opfershofen, 8584, 47.5615339, 9.1813979,
Ardez, 7546, 46.7751134, 10.2036595,
La Chaux-de-Fonds, 2300, 47.11767829999999, 6.8405667,
Crissier, 1023, 46.818188, 8.227511999999999,
Münchenstein, 4142, 47.51813110000001, 7.620042300000001,
Kueblis, 7240, 46.9178837, 9.7833466,
Dänikon, 8114, 47.4431086, 8.4082107,
Winterthur, 8400, 47.485687, 8.7292922,
Innerberg, 3044, 46.9980911, 7.311224299999999,
Lourtier, 1948, 46.818188, 8.227511999999999,
Müntschemier, 3225, 46.9964702, 7.1438031,
Freidorf, 9306, 47.4854814, 9.3858009,
Deitingen, 4543, 47.2198713, 7.6265451,
Schüpfheim bei Windlach, 8175, 47.5450692, 8.4659907,
Gurzelen, 3663, 46.7757953, 7.5434028,
Chalais, 3966, 46.2625791, 7.5092826,
Trey, 1552, 46.818188, 8.227511999999999,
Wölflinswil, 5063, 47.460628, 7.9923183,
Veltheim, 5106, 47.42956849999999, 8.1526128,
Vuissens, 1486, 46.818188, 8.227511999999999,
Steffisburg, 3612, 46.7792265, 7.6381387,
Kloten, 8302, 47.45265089999999, 8.5785757,
Schangnau, 6197, 46.8276597, 7.8607874,
Schangnau, 6197, 46.8276597, 7.8607874,
Brig, 3900, 46.3060531, 7.9539715,
Eichberg, 9453, 47.3459394, 9.518951999999999,
Thierachern, 3634, 46.7543877, 7.5728572,
Appenzell, 9050, 47.32678900000001, 9.4228294,
Fontenais, 2902, 47.4001963, 7.0771849,
Siselen, 2577, 47.0327785, 7.1880903,
Küblis, 7240, 46.9178837, 9.7833466,
Kernenried, 3309, 47.06886189999999, 7.538801599999999,
Winterthur, 8408, 47.5086606, 8.6873516,
Hinterforst, 9452, 47.3550386, 9.528211299999999,
Gunzwil, 6222, 47.1921984, 8.1686856,
Selzach, 2545, 47.2121208, 7.446418599999999,
Hombrechtikon, 8634, 47.25584, 8.7682378,
Hergiswil b. Willisau, 6133, 47.0648206, 7.959008,
Seedorf, 3267, 47.0239748, 7.3266996,
Plan-les-Ouates, 1228, 46.1655214, 6.116018,
Le Lignon, 1219, 46.818188, 8.227511999999999,
Gelfingen, 6284, 47.2156126, 8.286759199999999,
Rothenburg, 6023, 47.1024566, 8.2567703,
Lechelles, 1773, 46.818188, 8.227511999999999,
Zimmerwald, 3086, 46.8835199, 7.460444999999999,
Sulz, 5085, 47.532246, 8.0972936,
Gohl (BE), 3553, 46.9812891, 7.8228805,
Wattenwil, 3665, 46.7641056, 7.499330700000001,
Kreuzlingen, 8280, 47.6400624, 9.1603602,
Gutenburg, 4932, 47.1887526, 7.7967202,
Grasswil, 3365, 47.1485054, 7.666756,
Gerlafingen, 4563, 46.818188, 8.227511999999999,
