"Location","Production","Startup",
"Rueras","1.500","1979",
"Sedrun","2.000","1945",
"Sedrun","150.000","1968",
"Sedrun","0.750","1968",
"Tavanasa","180.000","1962",
"Somvix","24.870","1947",
"Trun","4.230","1999",
"Trun","0.600","1943",
"Dardin, Casut","0.400","2008",
"Tavanasa","4.000","1946",
"Obersaxen, St. Joseph","4.260","2017",
"Tavanasa","12.500","1960",
"Waltensburg","5.100","1973",
"Ilanz","34.500","1990",
"Ilanz","49.500","1992",
"Vals, Staumauer Zervreila","22.000","1958",
"Safien Platz","90.000","1957",
"Rothenbrunnen","135.000","1958",
"Rothenbrunnen","26.000","1949",
"St. Martin, Lunschania","0.940","1996",
"Sagogn","2.820","1963",
"Flims","2.620","2012",
"Flims","0.640","2012",
"Flims","0.300","2013",
"Flims","1.730","1904",
"Flims","0.880","2011",
"Flims","0.280","2011",
"Trin Mulin","1.600","1907",
"Trin","6.480","1944",
"Ausserferrera","180.000","1962",
"Ausserferrera","4.400","1963",
"Nufenen","0.300","2009",
"Splügen","1.800","2012",
"Sufers","0.710","1990",
"Andeer","220.000","1962",
"Andeer","1.600","1968",
"Sils, Nisellas","247.000","1961",
"Thusis","4.600","1968",
"Preda bei Bergün","0.900","1903",
"Davos, Frauenkirch","0.700","1894",
"Davos, Glaris","1.130","1899",
"Filisur","65.000","1967",
"Tiefencastel","24.000","1989",
"Bivio","0.650","1936",
"Tinizong-Rona","7.000","2016",
"Tinizong","69.500","1954",
"Riom - Parsonz","1.590","2011",
"Tiefencastel","52.000","1970",
"Tiefencastel","26.000","1949",
"Vaz/Obervaz","7.300","1920",
"Sils im Domleschg","26.000","1910",
"Rothenbrunnen","44.000","1976",
"Domat-Ems","19.060","1962",
"Litzirüti","5.000","1969",
"Lüen, Tewald","3.550","2013",
"Lüen, Tewald","7.200","1914",
"Chur, Sand","9.400","1947",
"Chur, Sand","0.710","1892",
"Churwalden, Bärgliwäg","0.400","2018",
"Klosters","16.500","1925",
"Klosters-Dorf","6.100","1928",
"Küblis","45.600","1922",
"Seewis","11.330","2011",
"Landquart-Fabriken","0.500","1901",
"Landquart-Fabriken","0.710","1988",
"Vadura","279.900","1977",
"Bad Ragaz","90.000","1978",
"Ragaz","0.700","1892",
"Jenins","0.460","1997",
"Vilters","1.200","1982",
"Wangs, Gaschiels","0.700","1950",
"Sevelen","1.140","1897",
"Buchs, Waldrand","0.980","1987",
"Buchs, Steig - Aspenhölzli","0.690","1903",
"Buchs, Altendorf","3.560","1928",
"Grabs, Bannwald","0.440","1959",
"Grabs, Löchli","1.430","1899",
"Sennwald","1.220","1912",
"Lienz","0.380","1906",
"Oberriet, Blatten","0.380","1906",
"Montlingen","0.380","1906",
"Heiden, Hinterlochen","0.720","1902",
"Untereggen, Lochmüli","0.630","1898",
"Steinach","1.200","2014",
"Schaffhausen","28.900","1964",
"Schaffhausen","5.000","1909",
"Neuhausen","5.600","1951",
"Rheinau","36.800","1956",
"Nesslau, unterer Giessenfall","1.900","1896",
"Nesslau, Schneit","1.250","1909",
"Krummenau","0.840","1945",
"Trempel, Ebnat-Kappel","1.800","1925",
"Ebnat - Kappel","0.860","1903",
"Lichtensteig","0.570","1820",
"Bütschwil","0.980","1861",
"Bütschwil","0.980","1917",
"Mülau bei Bazenheid Kirchberg","1.370","1865",
"Glattmüli","0.350","1893",
"Bischofszell","1.020","1864",
"Rässenaueli","2.500","1905",
"Urnäsch","0.380","1903",
"Urnäsch","0.360","1907",
"St. Gallen","15.000","1900",
"St. Gallen, Sittertal","0.460","1945",
"St. Gallen","0.300","2008",
"Wittenbach","0.480","1895",
"Schönenberg","1.700","2011",
"Schönenberg an der Thur","2.300","2002",
"Bürglen","1.100","1872",
"Bürglen","0.440","1956",
"Bürglen","0.990","2016",
"Bürglen","0.700","1947",
"Weinfelden","0.400","1878",
"Weinfelden","0.400","1948",
"Weinfelden, untere Widen","0.830","1989",
"Matzingen","0.340","1960",
"Frauenfeld, Schlossmühlestr.","0.310","2012",
"Kollbrunn, Gmde. Zell","0.370","1832",
"Sennhof, Illnau-Effretikon","0.470","1860",
"Neftenbach","0.350","1994",
"Hard, Wülflingen in Winterthur","0.580","2015",
"Freienstein","0.600","1832",
"Oberuster","0.420","1816",
"Zweidlen","46.900","1920",
"Reckingen","39.500","1941",
"Hallau","0.420","1895",
"Leibstadt","28.400","2009",
"Albbruck","84.900","1933",
"Laufenburg","110.000","1914",
"Bad Säckingen","73.600","1966",
"Schwörstadt","120.000","1931",
"Schwörstaddt, KW Ryburg-Schw.","0.350","2014",
"Rheinfelden","100.000","1898",
"Rheinfelden","1.800","2011",
"Augst","35.000","1912",
"Grenzach-Wyhlen","38.500","1912",
"Birsfelden","100.000","1955",
"Gorges de Court","0.920","1895",
"Choindez","0.580","1914",
"Undervelier, Blanches-Fontaine","0.320","1897",
"Chez Theurillat, Haute-Sorne","1.030","1920",
"Soyhières","0.520","1905",
"Laufen","0.350","1997",
"Laufen","0.720","1949",
"Zwingen","0.380","1913",
"Nenzlingen","0.340","1942",
"Grellingen","0.980","1945",
"Grellingen","0.500","1864",
"Grellingen","0.550","1861",
"Dornach","1.540","1996",
"Münchenstein","1.070","1998",
"Barrage de Kembs","2.850","1966",
"Barrage de Kembs","8.400","2016",
"Kembs, Loechle","155.000","1932",
"Grimsel, Chessituren","388.000","1981",
"Grimsel, Sommerloch u.Hospiz","33.600","1954",
"Grimsel, Sommerloch, u.Hospiz","32.200","1974",
"Handegg","44.800","1932",
"Handegg","215.600","1950",
"Handegg","55.100","1976",
"Handegg","0.000","1976",
"Guttannen, Blatti","1.290","2016",
"Innertkirchen, Underürbach","2.950","2016",
"Innertkirchen","393.500","1943",
"Underi-Furen, Innertkirchen","9.600","1961",
"Underi-Furen, Innertkirchen","0.000","1961",
"Hopflauenen","81.600","1967",
"Hopflauenen","5.400","1967",
"Innertkirchen","54.800","1967",
"Meiringen, Haselholz","1.650","1950",
"Meiringen","1.000","1889",
"Schattenhalb","1.900","1927",
"Schattenhalb","2.300","2017",
"Schattenhalb","9.700","2010",
"Brienz","0.900","1949",
"Grindelwald","1.400","1960",
"Lütschental","11.900","1908",
"Lauterbrunnen, Stechelberg","4.300","1905",
"Saxeten","0.480","1999",
"Wilderswil","0.800","1998",
"Interlaken, Kanal","0.820","1894",
"Unterseen","0.300","1996",
"Kandersteg, Eggeschwand","2.100","2009",
"Kandersteg, Zilfuri","1.090","1903",
"Kandersteg, Dorf","1.030","1996",
"Inner-Kandergrund","19.000","1911",
"Adelboden, Engstligenalp","0.600","1937",
"Reichenbach, Losplatte","2.750","2017",
"Adelboden, Moosweid","0.350","1903",
"Adelboden","0.500","1996",
"Längmad am Thunersee","18.660","1899",
"St. Stephan, Matten","2.090","2016",
"St. Stephan","0.350","2016",
"Boltigen, Garstatt","2.600","2016",
"Weissenburg","0.370","1898",
"Erlenbach","1.300","1946",
"Erlenbach","18.000","1959",
"Simmenfluh (Wimmis)","9.000","1962",
"Thun","6.320","1962",
"Thun","2.830","1917",
"Thun, Kanal (Uttigenstr.)","0.440","1901",
"Blumenstein","0.640","1918",
"Bern, Matte","1.160","1891",
"Engehalde","0.440","1998",
"Felsenau","11.500","1909",
"Buttenried","44.590","1920",
"Innergsteig","18.000","1966",
"Lauenen bei Gstaad","0.900","2014",
"Gsteig b.Gstaad","0.720","1948",
"Château d'Oex, Gérignoz","0.450","1996",
"Montbovon","31.000","1896",
"Lessoc","8.560","1973",
"Grandvillard","2.900","1999",
"Jaun","0.380","1982",
"Charmey, La Tzintre","0.860","2012",
"Charmey, Le Perré","5.270","1893",
"Broc","25.000","1921",
"Rossens","0.700","1976",
"Rossens","1.700","2005",
"Hauterive","60.000","1902",
"Fribourg, Maigrauge","0.580","1870",
"Fribourg, Oelberg","18.300","1910",
"Weissenburg_Del","0.370","1898",
"Schiffenen","71.000","1964",
"Niederried, Radelfingen","15.000","1963",
"Aarberg","15.200","1968",
"Kallnach","8.300","1913",
"Hagneck","2.910","1900",
"Hagneck","20.960","2015",
"La Dernier","28.000","1903",
"Vallorbe","2.350","1955",
"Les Clées","30.000","1955",
"Montcherand","15.500","1908",
"Orbe","2.600","1894",
"Orbe","0.770","2013",
"Orbe","0.580","1920",
"La Doux / St.Sulpice","0.820","1896",
"St.Sulpice","3.900","1988",
"Noiraigue, Le Furcil","0.680","1956",
"Brot - Dessous","1.110","1896",
"Brot-Dessous, Les Moyats","1.600","1887",
"Boudry, Combe-Garot","4.860","1897",
"Boudry","4.400","1914",
"Boudry","0.500","2014",
"Neuchâtel, Serrières","0.510","1920",
"Neuchâtel, Serrières","0.360","1939",
"Neuchâtel, Serrières","0.320","1939",
"La Serrière, Neuchâtel","1.300","2016",
"Sonceboz","0.390","2005",
"Péry, Rondchâtel","3.000","1883",
"Péry, Frinvillier","0.300","1893",
"Frinvillier","0.350","1869",
"Biel-Bözingen","0.320","1896",
"Bözingen","3.250","1876",
"Brügg","5.200","1995",
"Rüderswil","0.420","1999",
"Gohlhusbrügg, Lützelflüh","0.420","2016",
"Bätterkinden","0.500","1854",
"Bätterkinden","0.400","1855",
"Utzenstorf","0.380","1893",
"Wiler bei Utzenstorf","0.500","1889",
"Biberist","0.500","1864",
"Derendingen","0.330","1863",
"Luterbach","0.860","1876",
"Luterbach","0.320","1888",
"Riedholz","23.400","1970",
"Bannwil","28.500","1970",
"Oberwynau","12.000","1996",
"Schwarzhäusern","8.200","1923",
"Boningen","23.000","2000",
"Aarburg","0.420","1889",
"Olten","0.370","2015",
"Niedergösgen","51.300","1917",
"Aarau","16.930","1893",
"Aarau","9.200","1929",
"Aarau","1.200","2014",
"Auenstein","40.000","1945",
"Rupperswil","1.740","1945",
"Niederlenz","0.400","1943",
"Schinznach-Dorf","0.650","1953",
"Villnachern","51.250","1953",
"Döttingen","6.200","2001",
"Döttingen","19.500","1902",
"Klingnau, Gippingen","42.600","1935",
"Hospental","2.000","1902",
"Realp","0.900","1914",
"Realp","2.810","2017",
"Andermatt","2.900","1961",
"Göschenen","164.800","1962",
"Göschenen","33.260","1961",
"Göschenen","1.620","1969",
"Pfaffensprung","58.000","1949",
"Wassen, Pfaffensprung","0.720","1998",
"Gurtnellen","6.600","1900",
"Gurtnellen","0.310","2007",
"Bristen","4.300","2016",
"Amsteg","120.000","1923",
"Amsteg","1.730","1998",
"Amsteg","13.000","1910",
"Erstfeld, Ripshusen","7.000","1963",
"Erstfeld, Ripshusen","1.700","1931",
"Unterschächen","0.520","1996",
"Unterschächen","2.200","1962",
"Bürglen","20.800","1967",
"Bürglen","1.500","1895",
"Altdorf","0.300","2002",
"Isenthal","1.180","1959",
"Seedorf","0.380","2012",
"Seedorf","12.000","1955",
"Bisisthal, Sahli","4.700","1962",
"Bisisthal, Sahli","9.300","1970",
"Bisisthal","15.800","1956",
"Muotathal","8.800","1960",
"Muotathal","4.700","1960",
"Ibach","20.400","1966",
"Ibach","0.320","1859",
"Brunnen","0.600","1885",
"Steinen, Müliacher","2.200","2016",
"Beckenried","1.630","1957",
"Engelberg, Stalden","1.270","1941",
"Engelberg","8.500","1967",
"Engelberg","3.070","1966",
"Grafenort","31.950","1905",
"Grafenort","1.970","1963",
"Wolfenschiessen","17.750","1962",
"Wolfenschiessen, Flüglisloo","2.000","2013",
"Oberrickenbach","8.700","1937",
"Wolfenschiessen","6.600","1945",
"Buochs","0.330","1888",
"Lungern","1.200","2003",
"Kaiserstuhl","10.300","1933",
"Giswil","12.000","2013",
"Giswil","54.000","1921",
"Sachseln, Obflue","0.300","2005",
"Kerns, Stöckalp","14.000","1960",
"Kerns, Wisserlen","1.150","1905",
"Alpnach, Eichibrücke","2.400","1957",
"Stansstad, Rotzloch","0.300","1872",
"Luzern","0.930","1998",
"Wolhusen","0.330","1906",
"Malters","0.870","2011",
"Kriens/Obernau","0.710","1999",
"Littau","0.790","1886",
"Emmenbrücke","1.080","1931",
"Emmen","2.100","1896",
"Perlen, Buchrain","1.000","1873",
"Perlen, Root","1.150","1875",
"Unterägeri","0.450","1908",
"Neuägeri, Gmde Menzingen","0.340","2015",
"Lorzentobel, Nidfuren","1.900","1898",
"Lorzentobel","1.670","1891",
"Baar","2.170","1854",
"Friesencham, Cham","0.600","1897",
"Hagendorn","0.580","1893",
"Bremgarten","20.000","1975",
"Bremgarten","0.540","1998",
"Windisch","2.090","1830",
"Linthal, Ochsenstafel","500.000","2016",
"Linthal, Ochsenstafel","4.400","1965",
"Linthal, Tierfehd","261.000","1964",
"Linthal, Tierfehd","140.000","2010",
"Linthal, Tierfehd","42.000","1964",
"Linthal","34.400","1964",
"Linthal","15.000","1950",
"Linthal","0.500","1900",
"Linthal","1.600","1877",
"Linthal, Stachelberg","3.900","1921",
"Braunwald","0.930","2014",
"Rüti","0.360","1901",
"Rüti, Gmde Glarus Süd","2.530","2017",
"Diesbach","0.930","1945",
"Hätzingen","1.050","1850",
"Luchsingen","3.500","1940",
"Leuggelbach","1.000","1930",
"Haslen","0.920","1848",
"Schwanden","0.900","1828",
"Elm","0.330","1995",
"Matt","0.640","1902",
"Engi (Glarus Süd)","0.530","2012",
"Engi, Vorderdorf (Glarus Süd)","3.750","2009",
"Schwanden","15.700","1931",
"Schwanden","28.200","1931",
"Schwanden","1.800","1899",
"Schwanden","0.500","1908",
"Mitlödi","4.000","2018",
"Mitlödi (Glarus Süd)","0.850","2016",
"Ennenda","0.820","1920",
"Mitlödi, Gmde. Glarus Süd","0.550","2016",
"Ennenda, Alpenbrüggli","0.320","2011",
"Netstal","0.800","1912",
"Netstal","89.100","1908",
"Netstal","1.420","1923",
"Mels","0.990","1906",
"Mels, Steigs","3.300","1931",
"Mels","0.550","1878",
"Mels","1.760","2018",
"Plons, Gmde. Mels","4.500","1948",
"Flums","5.070","1901",
"Flums","0.700","1943",
"Flums, Rüfi","0.340","1890",
"Flums","1.480","1866",
"Walenstadt","3.140","2019",
"Flums","1.190","1974",
"Töbeli","0.600","1895",
"Mols, Tal","0.750","1954",
"Oberterzen","1.160","1927",
"Murgtal, Merlen","0.410","1950",
"Murgtal, Unter Plätz","0.520","1935",
"Murgtal, Unter Plätz","6.500","1994",
"Murgtal, Unter Plätz","2.300","1959",
"Murg, unterhalb Gödis","2.800","1909",
"Murg","2.320","1836",
"Amden, Muslen","1.630","1908",
"Rütiberg / Näfels","0.890","1961",
"Rütiberg / Näfels","0.850","1977",
"Näfels","4.500","1925",
"Niederurnen","2.220","1903",
"Ziegelbrücke","0.580","1837",
"Uznach","0.510","2015",
"Vorderthal, Rempen","66.240","1926",
"Siebnen","51.520","1926",
"Galgenen, Vorauen","0.300","1863",
"Rüti","0.560","1920",
"Altendorf","135.000","1937",
"Bäch","0.300","1957",
"Schindellegi","0.870","1869",
"Wollerau","1.450","1961",
"Schönenberg","2.800","1895",
"Zürich","0.640","1860",
"Zürich","5.000","1877",
"Zürich","1.400","1898",
"Dietikon","2.940","1933",
"Wettingen","2.100","2007",
"Wettingen","25.350","1933",
"Baden","0.500","2013",
"Baden","5.200","1909",
"Baden, Chappelerhof","7.000","1892",
"Untersiggenthal, Schiffmüli","0.380","2013",
"Untersiggenthal, Schiffmüli","3.300","1896",
"Turgi","1.000","1902",
"Turgi","0.900","1861",
"Untersiggenthal","0.800","1864",
"Hätzingen","1.060","2016",
"Ulrichen, Altstafel","9.670","1967",
"Oberwald, St. Niklaus","14.300","2017",
"Ulrichen, zum Loch","2.350","2014",
"Münster, Moos","1.990","1959",
"Wiler, Münster-Geschinen","0.860","2016",
"Reckingen","2.130","1990",
"Grafschaft","3.640","2013",
"Rappental","1.200","1965",
"Neubrigg","26.000","1965",
"Fieschertal","64.000","1975",
"Fiesch","3.100","2012",
"Niederernen","33.000","1954",
"Heiligkreuz, Längtal","1.250","1969",
"Heiligkreuz","41.000","1971",
"Mörel","35.300","1951",
"Mörel","54.900","1943",
"Bitsch","7.200","1899",
"Bitsch, Biel","340.000","1969",
"Naters","0.440","1900",
"Mund, In de Fäldu (Gem.Naters)","1.440","2015",
"Ried-Brig","2.350","1990",
"Ried-Brig","0.550","2013",
"Ried-Brig","5.010","1990",
"Brig-Glis","6.100","1942",
"Badhalte, Brig-Glis","1.440","2015",
"Ried-Brig","0.450","1995",
"Saas Almagell, Zermeiggern","74.000","1966",
"Saas Almagell, Zermeiggern","0.000","1987",
"Saas-Fee, Wichulti","1.550","1960",
"Stalden","185.000","1965",
"Mossjesee, Zermatt","0.430","2015",
"Zermatt","11.300","2002",
"Zermatt, Alterhaupt","2.230","1930",
"Zermatt","3.400","1949",
"Täsch","1.650","1992",
"St. Niklaus","4.700","2015",
"Eisten, VS","1.000","2014",
"Törbel, Gappil","0.490","2010",
"Stalden, Riedji","0.590","1929",
"Stalden, Ackersand","29.200","1909",
"Stalden, Ackersand","64.400","1959",
"Vispenterminen, Chrizji","3.000","2018",
"Vispenterminen, Stundhüs","2.320","2018",
"Baltschieder","0.330","1994",
"Tscherggen","0.500","2000",
"Unterbäch","1.300","2010",
"Eischoll","0.980","2014",
"Unterbäch","0.850","1966",
"Raron","1.060","2007",
"Niedergesteln, Turtig","0.550","2009",
"Niedergesteln","0.330","2008",
"Niedergesteln","0.580","2008",
"Blatten","1.250","2012",
"Blatten","0.450","1915",
"Wiler (Lötschen)","1.400","2010",
"Ferden","0.990","2013",
"Steg-Hohtenn","122.000","1976",
"Oberems","0.750","2009",
"Oberems","8.200","1926",
"Oberems, Meretschialp","0.000","1926",
"Turtmann, Müllacheren","23.900","1925",
"Dalaloch, Leuk-Stadt","13.000","1909",
"Chippis","47.840","1911",
"Grimentz-Lona, Val de Moiry","1.050","1961",
"Ayer, Mottec","71.000","1958",
"Ayer, Vissoie","50.000","1958",
"Ayer, Vissoie","0.680","1958",
"Chippis","52.000","1908",
"Croix / Ayent","66.000","1957",
"Chamarin / Ayent","1.900","1957",
"Crans-Montana, R. Bourgeoisie","1.050","2017",
"Icogne","2.000","2012",
"St-Léonard, Mangol","36.000","1956",
"St. Léonard","0.720","1907",
"Hérémence, Sauterot","5.100","1977",
"Hérémence","0.600","2012",
"Bramois","25.200","1915",
"Bramois","0.430","1953",
"Sion","150.000","1934",
"Siviez, Cleuson","0.000","1950",
"Savièse","0.460","2004",
"Arbaz","0.590","2010",
"Savièse","0.580","2015",
"Savièse","0.330","2001",
"Vétroz, Péteille","0.730","2015",
"Ardon","52.000","1960",
"Balavaud / Ardon","0.480","1971",
"Stafel","0.000","1961",
"Z'Mutt","0.000","1965",
"Ferpècle","0.000","1964",
"Arolla","0.000","1963",
"Riddes","1","285.000","1999",
"Fionnay","306.000","1957",
"Riddes","392.000","1960",
"Riddes","0.650","2016",
"Isérables","0.350","2005",
"Les Pontets, Riddes","0.450","2014",
"Riddes, Pied du Mont","0.310","1942",
"Fionnay, Mauvoisin","30.000","1964",
"Fionnay","140.000","1958",
"Riddes, Ecône","258.000","1956",
"Leytron","0.470","2013",
"Fully","5.500","1915",
"Fully","2.130","2017",
"Fully, Les Garettes","0.870","2017",
"Lac-Devant, Sorniot","0.000","1915",
"Champsec","8.700","1930",
"Le Châble, Bagnes","0.400","1993",
"Bagnes, Profray","2.300","2017",
"Pas-du Lein","0.470","1998",
"Vollèges","0.900","2009",
"L'Hospitalet","1.470","1963",
"Bourg-St-Pierre, La Delise","2.000","2016",
"Liddes","33.400","1958",
"Le Niollet, Champex","0.320","1947",
"Orsières","1.200","1996",
"Orsières","26.400","1931",
"Pt. de la Tsi / Liddes","0.000","1943",
"Sembrancher, Les Moulins","11.000","1929",
"Martigny-Bourg","22.000","1908",
"Martigny-Combe","0.930","1981",
"Le Châtelard","1.000","1929",
"Le Châtelard","112.000","1923",
"Vallorcine","260.500","1978",
"Finhaut","900.000","2018",
"Salvan, Alpage de Barberine","0.000","1978",
"Vallorcine","0.000","1978",
"Vernayaz","92.000","1927",
"Vernayaz","0.460","2013",
"Martigny","170.000","1978",
"Vernayaz","1.700","2016",
"Vernayaz, Miéville","70.000","1950",
"Giétroz du Fond","0.000","1965",
"Clusanfe","0.000","1950",
"Collonges","3.300","1981",
"Evionnaz, La Rasse","0.720","1998",
"Lavey","90.000","1950",
"La Peuffeyre","24.000","1927",
"Bex","8.000","1898",
"Bex","2.610","1911",
"Le Bevieux","1.900","1943",
"Etrivouez, Grand Paradis","0.970","1901",
"La Frassenaye, Val d'Jlliez","0.920","2005",
"Monthey","13.600","1910",
"Monthey, Les Nants","9.800","1963",
"Monthey","0.400","1992",
"Vionnaz, Beffeux","0.420","2014",
"Les Diablerets, Le Plan","5.400","1957",
"Ormont-Dessous, Le Pont","10.600","1913",
"Ormont - Dessous, Le Pont","0.390","2013",
"Aigle, En la Douve","0.460","1989",
"Fontanney, Les Farettes","20.300","1906",
"Les Farettes, Aigle","0.330","1997",
"Vouvry, Haut du Village","8.000","1902",
"Saint-Gingolph, Vignolles","0.350","2009",
"Veytaux, Chillon","420.000","1972",
"Montreux, Sonzier","1.650","1901",
"Les Planches, Taulan","1.200","1887",
"Rivaz","0.730","2014",
"Aubonne","10.700","1896",
"Lavigny","3.310","2008",
"Genève","8.700","1994",
"Veyrier, Iles de Vessy","0.320","1867",
"Russin","102.800","1943",
"Avully / Chancy","54.000","1925",
"Challex","0.480","2013",
"Les Brenets, La Rançonnière","1.600","1890",
"Les Planchettes","1.000","2005",
"Les Planchettes","31.600","1953",
"Echelles de la Mort","12.000","1909",
"Le Noirmont","5.600","1894",
"Bedretto, Ossasco","1.270","2012",
"Motti della Bolla","1.930","1991",
"Airolo","60.000","1947",
"Cap.dei Morti","0.000","1947",
"Airolo, Launc","3.600","1922",
"Piotta","44.000","1920",
"Piotta","14.000","1968",
"Rodi-Fiesso","10.000","1925",
"Prato Leventina, P. di Masc.","0.310","2008",
"Faido","2.000","1950",
"Dalpe","1.000","2000",
"Lavorgo, Nivo di Chironico","72.900","1932",
"Chironico","2.900","1907",
"Personico","141.000","1966",
"Ghirone","20.000","1963",
"Olivone","102.000","1962",
"Biasca","324.000","1959",
"Mesocco, Spina","20.900","1962",
"Mesocco, Spina","4.200","1963",
"Mesocco, Camou","0.350","2010",
"Soazza","83.000","1961",
"Lostallo, Rura","25.000","1958",
"Piani di Verdabbio","0.300","1957",
"Grono, Oltra","37.500","1965",
"Roveredo","20.800","1951",
"Giubiasco","0.310","2017",
"Giubiasco","15.500","1903",
"Gordola","132.500","1965",
"Tenero","4.250","1972",
"Piano di Peccia","54.000","1955",
"Piano di Peccia","0.980","1991",
"Robiei","192.000","1968",
"San Carlo","140.000","1966",
"Broglio, Corsgèla in Lavizarra","2.120","2016",
"Cavergno","114.000","1955",
"Brissago","119.000","1953",
"Brissago","62.000","1973",
"Campo Vallemaggia","1.280","2002",
"Cerentino, Collinasca","1.380","2004",
"Someo, Giumaglio","8.940","1967",
"Palagnedra","2.850","2018",
"Tegna, Ponte Brolla","3.100","1904",
"Sonvico","5.000","1926",
"Sigirino (Monteceneri)","0.840","2015",
"Maroggia","0.950","1890",
"Gabi","11.330","1957",
"Gondo, San Marco","46.000","1952",
"Gondo, Tannuwald","5.200","1953",
"Poschiavo, Alpe Palü","9.500","1927",
"Poschiavo, Bernina","0.000","1923",
"Poschiavo, Cavaglia","7.000","1927",
"S. Carlo, Robbia","27.000","1910",
"San Carlo, Pedecosta","0.510","2010",
"Campocologno","50.000","1907",
"Campocologno","1.620","1950",
"Casaccia","6.600","1961",
"Casaccia","86.000","1959",
"Plancanin","0.500","1991",
"Casaccia","9.000","1960",
"Casaccia","0.000","1967",
"Casaccia","0.000","1960",
"Murtaira","0.000","1963",
"Bondo","6.900","1962",
"Promontogno, Gmde. Bregaglia","0.510","2017",
"Castasegna","100.000","1959",
"Silvaplana","1.470","1891",
"Scuol","0.960","2014",
"Celerina","4.400","1932",
"Roseg, Samedan","0.310","1933",
"Pontresina, Morteratsch","1.600","1890",
"Samedan","0.360","1992",
"Madulain","1.560","1903",
"Susch","5.860","2010",
"Lavin","3.070","2014",
"Guarda-Giarsun Gmd. Scuol","0.350","1998",
"Ardez","6.600","2014",
"Tarasp","0.920","2010",
"Scuol","1.900","1903",
"Strada","0.300","1994",
"Samnaun-Compatch","0.460","2017",
"Samnaun-Compatsch","0.960","1970",
"Zernez","2.800","1969",
"Zernez","54.000","1970",
"Zernez","0.470","1969",
"Scuol","300.000","1970",
"Martina","84.000","1994",
"Nauders, A","2.140","2018",
"Prutz","86.900","2018",
"Sta.Maria","2.000","1958",
"Müstair/Chasseras","1.070","1991",
