Location,Production,Startup,Lat,Lng,
Baar,2.17,1854, 47.1953729, 8.526087,
Friesenchams Cham,0.6,1897, 47.1962376, 8.4489004,
Hagendorn,0.58,1893, 47.2031877, 8.4322035,
Bremgarten,20,1975, 47.34917739999999, 8.3397905,
Bremgarten,0.54,1998, 47.34917739999999, 8.3397905,
Windisch,2.09,1830, 47.4789604, 8.2159655,
Linthals Ochsenstafel,500,2016, 46.818188, 8.227511999999999,
Linthals Ochsenstafel,4.4,1965, 46.818188, 8.227511999999999,
Linthals Tierfehd,261,1964, 46.8784824, 8.9820654,
Linthals Tierfehd,140,2010, 46.8784824, 8.9820654,
Linthals Tierfehd,42,1964, 46.8784824, 8.9820654,
Linthal,34.4,1964, 46.9218287, 8.9996438,
Linthal,15,1950, 46.9218287, 8.9996438,
Linthal,0.5,1900, 46.9218287, 8.9996438,
Linthal,1.6,1877, 46.9218287, 8.9996438,
Linthals Stachelberg,3.9,1921, 46.92772660000001, 9.0011233,
Braunwald,0.93,2014, 46.9393043, 8.9981219,
Rüti,0.36,1901, 47.2566995, 8.854421,
Rütis Gmde Glarus Süd,2.53,2017, 46.9368871, 9.016067000000001,
Diesbach,0.93,1945, 46.916667, 9.049999999999999,
Hätzingen,1.05,1850, 46.95, 9.033332999999999,
Luchsingen,3.5,1940, 46.9672905, 9.036788999999999,
Leuggelbach,1,1930, 46.966667, 9.0499999,
Haslen,0.92,1848, 46.9808737, 9.055884299999999,
Schwanden,0.9,1828, 46.9941626, 9.073914499999999,
Elm,0.33,1995, 46.91979569999999, 9.172340499999999,
Matt,0.64,1902, 46.9578717, 9.1715862,
Engi (Glarus Süd),0.53,2012, 46.9821094, 9.153222699999999,
Engis Vorderdorf (Glarus Süd),3.75,2009, 46.9821094, 9.153222699999999,
Schwanden,15.7,1931, 46.9941626, 9.073914499999999,
Schwanden,28.2,1931, 46.9941626, 9.073914499999999,
Schwanden,1.8,1899, 46.9941626, 9.073914499999999,
Schwanden,0.5,1908, 46.9941626, 9.073914499999999,
Mitlödi,4,2018, 47.0106005, 9.0799644,
Mitlödi (Glarus Süd),0.85,2016, 47.0106005, 9.0799644,
Ennenda,0.82,1920, 47.0338781, 9.077552899999999,
Mitlödis Gmde. Glarus Süd,0.55,2016, 47.0106005, 9.0799644,
Ennendas Alpenbrüggli,0.32,2011, 47.0508495, 9.0690901,
Netstal,0.8,1912, 47.0633697, 9.0550398,
Netstal,89.1,1908, 47.0633697, 9.0550398,
Netstal,1.42,1923, 47.0633697, 9.0550398,
Mels,0.99,1906, 47.0478375, 9.4224018,
Melss Steigs,3.3,1931, 46.818188, 8.227511999999999,
Mels,0.55,1878, 47.0478375, 9.4224018,
Mels,1.76,2018, 47.0478375, 9.4224018,
Plonss Gmde. Mels,4.5,1948, 47.0478375, 9.4224018,
Flums,5.07,1901, 47.09164610000001, 9.3425546,
Flums,0.7,1943, 47.09164610000001, 9.3425546,
Flumss Rüfi,0.34,1890, 47.1811841, 9.0508609,
Flums,1.48,1866, 47.09164610000001, 9.3425546,
Walenstadt,3.14,2019, 47.12398, 9.31603,
Flums,1.19,1974, 47.09164610000001, 9.3425546,
Töbeli,0.6,1895, 47.516667, 9.033332999999999,
Molss Tal,0.75,1954, 46.818188, 8.227511999999999,
Oberterzen,1.16,1927, 47.102403, 9.255855000000002,
Murgtals Merlen,0.41,1950, 47.5061724, 8.941068999999999,
Murgtals Unter Plätz,0.52,1935, 46.818188, 8.227511999999999,
Murgtals Unter Plätz,6.5,1994, 46.818188, 8.227511999999999,
Murgtals Unter Plätz,2.3,1959, 46.818188, 8.227511999999999,
Murgs unterhalb Gödis,2.8,1909, 47.1133597, 9.2159097,
Murg,2.32,1836, 47.5061724, 8.941068999999999,
Amdens Muslen,1.63,1908, 47.1380727, 9.1355582,
Rütiberg / Näfels,0.89,1961, 47.0920934, 9.0345532,
Rütiberg / Näfels,0.85,1977, 47.0920934, 9.0345532,
Näfels,4.5,1925, 47.0993576, 9.0677737,
Niederurnen,2.22,1903, 47.125507, 9.0531505,
Ziegelbrücke,0.58,1837, 47.1339, 9.0613,
Uznach,0.51,2015, 47.2243722, 8.9841417,
Vorderthals Rempen,66.24,1926, 47.1393237, 8.899421499999999,
Siebnen,51.52,1926, 47.1744948, 8.897176,
Galgenens Vorauen,0.3,1863, 47.18267729999999, 8.8578858,
Rüti,0.56,1920, 47.2566995, 8.854421,
Altendorf,135,1937, 47.1914822, 8.829904299999999,
Bäch,0.3,1957, 47.199995, 8.716671999999999,
Schindellegi,0.87,1869, 47.1748077, 8.712788699999999,
Wollerau,1.45,1961, 47.19717, 8.713379999999999,
Schönenberg,2.8,1895, 47.1932312, 8.644027,
Zürich,0.64,1860, 47.3768866, 8.541694,
Zürich,5,1877, 47.3768866, 8.541694,
Zürich,1.4,1898, 47.3768866, 8.541694,
Dietikon,2.94,1933, 47.4053885, 8.39977,
Wettingen,2.1,2007, 47.4659503, 8.3265988,
Wettingen,25.35,1933, 47.4659503, 8.3265988,
Baden,0.5,2013, 47.47288, 8.30809,
Baden,5.2,1909, 47.47288, 8.30809,
Badens Chappelerhof,7,1892, 47.4834769, 8.2854204,
Untersiggenthals Schiffmüli,0.38,2013, 47.4978612, 8.2638309,
Untersiggenthals Schiffmüli,3.3,1896, 47.4978612, 8.2638309,
Turgi,1,1902, 47.4887974, 8.2547897,
Turgi,0.9,1861, 47.4887974, 8.2547897,
Untersiggenthal,0.8,1864, 47.4978612, 8.2638309,
Hätzingen,1.06,2016, 46.95, 9.033332999999999,
Ulrichens Altstafel,9.67,1967, 46.5312148, 8.327779999999999,
Oberwalds St. Niklaus,14.3,2017, 46.532881, 8.345476399999999,
Ulrichens zum Loch,2.35,2014, 46.50347, 8.3178,
Münsters Moos,1.99,1959, 46.486934, 8.263605,
Wilers Münster-Geschinen,0.86,2016, 46.4873503, 8.2638032,
Reckingen,2.13,1990, 46.4695173, 8.2451355,
Grafschaft,3.64,2013, 46.4553356, 8.2169557,
Rappental,1.2,1965, 46.818188, 8.227511999999999,
Neubrigg,26,1965, 46.818188, 8.227511999999999,
Fieschertal,64,1975, 46.4245787, 8.143049,
Fiesch,3.1,2012, 46.4014491, 8.1333135,
Niederernen,33,1954, 46.393056, 8.136111,
Heiligkreuzs Längtal,1.25,1969, 46.3500989, 8.176441,
Heiligkreuz,41,1971, 46.9461658, 8.0561115,
Mörel,35.3,1951, 46.3567261, 8.0466357,
Mörel,54.9,1943, 46.3567261, 8.0466357,
Bitsch,7.2,1899, 46.3360083, 8.01573,
Bitschs Biel,340,1969, 46.3360083, 8.01573,
Naters,0.44,1900, 46.3239282, 7.9916569,
Munds In de Fäldu (Gem.Naters),1.44,2015, 38.9108325, -75.52766989999999,
Ried-Brig,2.35,1990, 46.31726, 8.01774,
Ried-Brig,0.55,2013, 46.31726, 8.01774,
Ried-Brig,5.01,1990, 46.31726, 8.01774,
Brig-Glis,6.1,1942, 46.3158992, 7.987820800000001,
Badhaltes Brig-Glis,1.44,2015, 46.3158992, 7.987820800000001,
Ried-Brig,0.45,1995, 46.31726, 8.01774,
Saas Almagells Zermeiggern,74,1966, 46.083323, 7.95844,
Saas Almagells Zermeiggern,0,1987, 46.083323, 7.95844,
Saas-Fees Wichulti,1.55,1960, 46.1091073, 7.9297122,
Stalden,185,1965, 46.2331036, 7.870670499999999,
Mossjesees Zermatt,0.43,2015, 46.0207133, 7.749117000000001,
Zermatt,11.3,2002, 46.0207133, 7.749117000000001,
Zermatts Alterhaupt,2.23,1930, 46.022232, 7.738173,
Zermatt,3.4,1949, 46.0207133, 7.749117000000001,
Täsch,1.65,1992, 46.0679692, 7.775904499999999,
St. Niklaus,4.7,2015, 46.1762332, 7.804591699999999,
Eistens VS,1,2014, 46.19739999999999, 7.895079999999998,
Törbels Gappil,0.49,2010, 46.2344525, 7.847156699999998,
Staldens Riedji,0.59,1929, 46.24041, 7.896339999999999,
Staldens Ackersand,29.2,1909, 46.2405271, 7.875593199999999,
Staldens Ackersand,64.4,1959, 46.2405271, 7.875593199999999,
Vispenterminens Chrizji,3,2018, 46.2653533, 7.896274099999999,
Vispenterminens Stundhüs,2.32,2018, 46.266545, 7.880243999999999,
Baltschieder,0.33,1994, 46.308, 7.863670000000001,
Tscherggen,0.5,2000, 46.783333, 9.664444,
Unterbäch,1.3,2010, 46.2849335, 7.7991647,
Eischoll,0.98,2014, 46.29327, 7.780620000000001,
Unterbäch,0.85,1966, 46.2849335, 7.7991647,
Raron,1.06,2007, 46.3090067, 7.80016,
Niedergestelns Turtig,0.55,2009, 46.3023624, 7.796839100000001,
Niedergesteln,0.33,2008, 46.3137237, 7.781042599999999,
Niedergesteln,0.58,2008, 46.3137237, 7.781042599999999,
Blatten,1.25,2012, 46.4201048, 7.8199932,
Blatten,0.45,1915, 46.4201048, 7.8199932,
Wiler (Lötschen),1.4,2010, 46.4022173, 7.782755599999999,
Ferden,0.99,2013, 46.3939824, 7.759474599999999,
Steg-Hohtenn,122,1976, 46.3187919, 7.755867599999998,
Oberems,0.75,2009, 46.281652, 7.695524400000001,
Oberems,8.2,1926, 46.281652, 7.695524400000001,
Oberemss Meretschialp,0,1926, 46.818188, 8.227511999999999,
Turtmanns Müllacheren,23.9,1925, 46.2968764, 7.680516600000001,
Dalalochs Leuk-Stadt,13,1909, 46.3176773, 7.635166499999999,
Chippis,47.84,1911, 46.2795072, 7.541926899999999,
Grimentz-Lonas Val de Moiry,1.05,1961, 46.1275421, 7.5699112,
Ayers Mottec,71,1958, 46.1524459, 7.6226552,
Ayers Vissoie,50,1958, 46.2152089, 7.585594200000001,
Ayers Vissoie,0.68,1958, 46.2152089, 7.585594200000001,
Chippis,52,1908, 46.2795072, 7.541926899999999,
Croix / Ayent,66,1957, 46.3107748, 7.425255399999998,
Chamarin / Ayent,1.9,1957, 46.2765711, 7.4058146,
Crans-Montanas R. Bourgeoisie,1.05,2017, 46.3425654, 7.498438999999999,
Icogne,2,2012, 46.290802, 7.4381663,
St-Léonards Mangol,36,1956, 46.25347, 7.418330000000001,
St. Léonard,0.72,1907, 46.25347, 7.418330000000001,
Hérémences Sauterot,5.1,1977, 46.174191, 7.4101483,
Hérémence,0.6,2012, 46.1724731, 7.421453899999999,
Bramois,25.2,1915, 46.2334172, 7.4056447,
Bramois,0.43,1953, 46.2334172, 7.4056447,
Sion,150,1934, 46.2331221, 7.360625999999999,
Siviezs Cleuson,0,1950, 46.1070335, 7.323273700000001,
Savièse,0.46,2004, 46.2511752, 7.349158099999999,
Arbaz,0.59,2010, 46.2717615, 7.381039400000001,
Savièse,0.58,2015, 46.2511752, 7.349158099999999,
Savièse,0.33,2001, 46.2511752, 7.349158099999999,
Vétrozs Péteille,0.73,2015, 46.2257544, 7.281970599999998,
Ardon,52,1960, 46.2097412, 7.257228599999999,
Balavaud / Ardon,0.48,1971, 46.217467, 7.26228,
Stafel,0,1961, 46.0058456, 7.6860887,
Z'Mutt,0,1965, 46.0064719, 7.717241500000001,
Ferpècle,0,1964, 46.05990000000001, 7.546950000000001,
Arolla,0,1963, 46.0233657, 7.481790500000001,
Riddes,1285,1999, 46.1731437, 7.222514899999998,
Fionnay,306,1957, 46.03286, 7.307699999999999,
Riddes,392,1960, 46.1731437, 7.222514899999998,
Riddes,0.65,2016, 46.1731437, 7.222514899999998,
Isérables,0.35,2005, 46.16251219999999, 7.2444663,
Les Pontetss Riddes,0.45,2014, 46.1731437, 7.222514899999998,
Riddess Pied du Mont,0.31,1942, 46.1702887, 7.226523,
Fionnays Mauvoisin,30,1964, 46.03286, 7.307699999999999,
Fionnay,140,1958, 46.03286, 7.307699999999999,
Riddess Ecône,258,1956, 46.15612489999999, 7.207144099999999,
Leytron,0.47,2013, 46.1866297, 7.208701500000001,
Fully,5.5,1915, 46.1385386, 7.1181106,
Fully,2.13,2017, 46.1385386, 7.1181106,
Fullys Les Garettes,0.87,2017, 46.2086498, 7.376780999999999,
Lac-Devants Sorniot,0,1915, 46.169349, 7.094923,
Champsec,8.7,1930, 46.05710999999999, 7.242970000000001,
Le Châbles Bagnes,0.4,1993, 46.08014, 7.21048,
Bagness Profray,2.3,2017, 46.0815654, 7.2024992,
Pas-du Lein,0.47,1998, 46.1107393, 7.1592807,
Vollèges,0.9,2009, 46.0871799, 7.1704747,
L'Hospitalet,1.47,1963, 41.3661865, 2.1164942,
Bourg-St-Pierres La Delise,2,2016, 45.9491399, 7.208537600000001,
Liddes,33.4,1958, 45.9919529, 7.1858196,
Le Niollets Champex,0.32,1947, 46.0278595, 7.116504399999999,
Orsières,1.2,1996, 46.0282108, 7.147099499999999,
Orsières,26.4,1931, 46.0282108, 7.147099499999999,
Pt. de la Tsi / Liddes,0,1943, 45.9919529, 7.1858196,
Sembranchers Les Moulins,11,1929, 46.076873, 7.154902499999999,
Martigny-Bourg,22,1908, 46.09243499999999, 7.068479,
Martigny-Combe,0.93,1981, 46.083195, 7.0487069,
Le Châtelard,1,1929, 46.6774396, 6.977985599999999,
Le Châtelard,112,1923, 46.6774396, 6.977985599999999,
Vallorcine,260.5,1978, 46.033505, 6.931817,
Finhaut,900,2018, 46.08337, 6.97688,
Salvans Alpage de Barberine,0,1978, 46.0579552, 6.9388248,
Vallorcine,0,1978, 46.033505, 6.931817,
Vernayaz,92,1927, 46.13465, 7.03959,
Vernayaz,0.46,2013, 46.13465, 7.03959,
Martigny,170,1978, 46.1049798, 7.075533399999999,
Vernayaz,1.7,2016, 46.13465, 7.03959,
Vernayazs Miéville,70,1950, 46.1484661, 7.0292761,
Giétroz du Fond,0,1965, 45.9991992, 7.383761499999999,
Clusanfe,0,1950, 46.818188, 8.227511999999999,
Collonges,3.3,1981, 46.169781, 7.033227,
Evionnazs La Rasse,0.72,1998, 46.182888, 7.0137136,
Lavey,90,1950, 46.2207033, 7.014481699999999,
La Peuffeyre,24,1927, 46.2670446, 7.057516,
Bex,8,1898, 46.24998470000001, 7.014266399999999,
Bex,2.61,1911, 46.24998470000001, 7.014266399999999,
Le Bevieux,1.9,1943, 46.2594273, 7.030850099999999,
Etrivouezs Grand Paradis,0.97,1901, 46.1616965, 6.8596758,
La Frassenayes Val d'Jlliez,0.92,2005, 46.18475859999999, 6.896675,
Monthey,13.6,1910, 46.2521873, 6.9469598,
Montheys Les Nants,9.8,1963, 46.818188, 8.227511999999999,
Monthey,0.4,1992, 46.2521873, 6.9469598,
Vionnazs Beffeux,0.42,2014, 46.3090098, 6.8938362,
Les Diableretss Le Plan,5.4,1957, 46.351389, 7.158055999999999,
Ormont-Dessouss Le Pont,10.6,1913, 46.3475681, 7.043092799999999,
Ormont - Dessouss Le Pont,0.39,2013, 46.3475681, 7.043092799999999,
Aigles En la Douve,0.46,1989, 46.3190253, 6.970566,
Fontanneys Les Farettes,20.3,1906, 46.818188, 8.227511999999999,
Les Farettess Aigle,0.33,1997, 46.3190253, 6.970566,
Vouvrys Haut du Village,8,1902, 47.4136563, 0.8083855999999999,
Saint-Gingolphs Vignolles,0.35,2009, 46.39082399999999, 6.804826599999999,
Veytauxs Chillon,420,1972, 46.4142131, 6.927492399999999,
Montreuxs Sonzier,1.65,1901, 46.438925, 6.921644,
Les Planchess Taulan,1.2,1887, 46.818188, 8.227511999999999,
Rivaz,0.73,2014, 46.4764133, 6.778613099999999,
Aubonne,10.7,1896, 46.49532910000001, 6.3918325,
Lavigny,3.31,2008, 46.5012496, 6.404400799999999,
Genève,8.7,1994, 46.2043907, 6.1431577,
Veyriers Iles de Vessy,0.32,1867, 46.1771956, 6.167167699999999,
Russin,102.8,1943, 46.1880652, 6.013571900000001,
Avully / Chancy,54,1925, 46.1696093, 6.0013782,
Challex,0.48,2013, 46.181175, 5.972054,
Les Brenetss La Rançonnière,1.6,1890, 47.0596349, 6.705921,
Les Planchettes,1,2005, 47.1064515, 6.770286199999999,
Les Planchettes,31.6,1953, 47.1064515, 6.770286199999999,
Echelles de la Mort,12,1909, 47.1862418, 6.8721628,
Le Noirmont,5.6,1894, 47.2256223, 6.9572116,
Bedrettos Ossasco,1.27,2012, 46.5056527, 8.510535899999999,
Motti della Bolla,1.93,1991, 46.818188, 8.227511999999999,
Airolo,60,1947, 46.5286074, 8.612374599999999,
Cap.dei Morti,0,1947, 46.818188, 8.227511999999999,
Airolos Launc,3.6,1922, 46.818188, 8.227511999999999,
Piotta,44,1920, 46.51329, 8.67487,
Piotta,14,1968, 46.51329, 8.67487,
Rodi-Fiesso,10,1925, 46.49073, 8.73758,
Prato Leventinas P. di Masc.,0.31,2008, 46.4829046, 8.7567273,
Faido,2,1950, 46.47821769999999, 8.8009636,
Dalpe,1,2000, 46.4773556, 8.7728337,
Lavorgos Nivo di Chironico,72.9,1932, 46.4347727, 8.8421202,
Chironico,2.9,1907, 46.4221504, 8.8436177,
Personico,141,1966, 46.3711388, 8.9187102,
Ghirone,20,1963, 46.57018, 8.94309,
Olivone,102,1962, 46.533333, 8.95,
Biasca,324,1959, 46.3580008, 8.9704651,
Mesoccos Spina,20.9,1962, 46.4292721, 9.2164769,
Mesoccos Spina,4.2,1963, 46.4292721, 9.2164769,
Mesoccos Camou,0.35,2010, 46.4213858, 9.2331001,
Soazza,83,1961, 46.36493489999999, 9.2243119,
Lostallos Rura,25,1958, 46.31233, 9.1956818,
Piani di Verdabbio,0.3,1957, 46.2836072, 9.1732325,
Gronos Oltra,37.5,1965, 46.2477371, 9.1461813,
Roveredo,20.8,1951, 46.23435019999999, 9.1288093,
Giubiasco,0.31,2017, 46.172106, 9.010393299999999,
Giubiasco,15.5,1903, 46.172106, 9.010393299999999,
Gordola,132.5,1965, 46.1809063, 8.8608089,
Tenero,4.25,1972, 46.1804632, 8.8490614,
Piano di Peccia,54,1955, 46.415, 8.60759,
Piano di Peccia,0.98,1991, 46.415, 8.60759,
Robiei,192,1968, 46.4458342, 8.5162558,
San Carlo,140,1966, 46.4103, 8.52587,
Broglios Corsgèla in Lavizarra,2.12,2016, 46.38185559999999, 8.666862799999999,
Cavergno,114,1955, 46.3450894, 8.6057293,
Brissago,119,1953, 46.1200438, 8.7112657,
Brissago,62,1973, 46.1200438, 8.7112657,
Campo Vallemaggia,1.28,2002, 46.2887844, 8.495915199999999,
Cerentinos Collinasca,1.38,2004, 46.304302, 8.551171799999999,
Someos Giumaglio,8.94,1967, 46.273889, 8.681944,
Palagnedra,2.85,2018, 46.1540359, 8.6321672,
Tegnas Ponte Brolla,3.1,1904, 46.186706, 8.7443382,
Sonvico,5,1926, 46.0580636, 8.9901808,
Sigirino (Monteceneri),0.84,2015, 46.1112872, 8.9326382,
Maroggia,0.95,1890, 45.9340548, 8.971080599999999,
Gabi,11.33,1957, 46.18405, 8.07071,
Gondos San Marco,46,1952, 46.818188, 8.227511999999999,
Gondos Tannuwald,5.2,1953, 46.1512413, 8.1065889,
Poschiavos Alpe Palü,9.5,1927, 46.372778, 10.025833,
Poschiavos Bernina,0,1923, 46.3239301, 10.0573467,
Poschiavos Cavaglia,7,1927, 46.3662781, 10.0423391,
S. Carlos Robbia,27,1910, 46.34802639999999, 10.0612305,
San Carlos Pedecosta,0.51,2010, 46.3416266, 10.0600307,
Campocologno,50,1907, 46.23235, 10.13202,
Campocologno,1.62,1950, 46.23235, 10.13202,
Casaccia,6.6,1961, 46.390997, 9.666473,
Casaccia,86,1959, 46.390997, 9.666473,
Plancanin,0.5,1991, 46.818188, 8.227511999999999,
Casaccia,9,1960, 46.390997, 9.666473,
Casaccia,0,1967, 46.390997, 9.666473,
Casaccia,0,1960, 46.390997, 9.666473,
Murtaira,0,1963, 46.818188, 8.227511999999999,
Bondo,6.9,1962, 46.3353876, 9.5541649,
Promontognos Gmde. Bregaglia,0.51,2017, 46.3509787, 9.622044299999999,
Castasegna,100,1959, 46.3333, 9.5140999,
Silvaplana,1.47,1891, 46.4599864, 9.7955009,
Scuol,0.96,2014, 46.7968716, 10.2977381,
Celerina,4.4,1932, 46.51233329999999, 9.8589518,
Rosegs Samedan,0.31,1933, 46.4388267, 9.8712089,
Pontresinas Morteratsch,1.6,1890, 46.4515691, 9.9414932,
Samedan,0.36,1992, 46.5339944, 9.8729339,
Madulain,1.56,1903, 46.5864909, 9.9384813,
Susch,5.86,2010, 46.7507975, 10.0796664,
Lavin,3.07,2014, 46.7679834, 10.1107044,
Guarda-Giarsun Gmd. Scuol,0.35,1998, 46.76989, 10.14391,
Ardez,6.6,2014, 46.7749013, 10.2017095,
Tarasp,0.92,2010, 46.7758856, 10.2584949,
Scuol,1.9,1903, 46.7968716, 10.2977381,
Strada,0.3,1994, 47.192061, 8.513257000000001,
Samnaun-Compatch,0.46,2017, 46.96028, 10.40523,
Samnaun-Compatsch,0.96,1970, 46.96028, 10.40523,
Zernez,2.8,1969, 46.7004905, 10.0949083,
Zernez,54,1970, 46.7004905, 10.0949083,
Zernez,0.47,1969, 46.7004905, 10.0949083,
Scuol,300,1970, 46.7968716, 10.2977381,
Martina,84,1994, 46.883333, 10.466667,
Nauderss A,2.14,2018, 46.8839419, 10.4632551,
Prutz,86.9,2018, 47.07661909999999, 10.6633174,
Sta.Maria,2,1958, 46.6020161, 10.4249076,
Müstair/Chasseras,1.07,1991, 46.6261772, 10.445857,
